experiment,domain_setup,model,seed,accuracy,precision,recall,f1,macro_f1
Exp2,IMDB->FPB,LSTM_GloVe,42,0.52,0.7586206896551724,0.38596491228070173,0.5116279069767442,0.5116279069767442
Exp2,IMDB->FPB,BERT_base,42,0.6114285714285714,0.7346938775510204,0.631578947368421,0.6792452830188679,0.593245829915231
Exp2,IMDB->FPB,LSTM_GloVe,52,0.42857142857142855,0.7692307692307693,0.17543859649122806,0.2857142857142857,0.2857142857142857
Exp2,IMDB->FPB,BERT_base,52,0.6914285714285714,0.7884615384615384,0.7192982456140351,0.7522935779816514,0.6716013344453712
Exp2,IMDB->FPB,LSTM_GloVe,62,0.5542857142857143,0.7647058823529411,0.45614035087719296,0.5714285714285714,0.5714285714285714
Exp2,IMDB->FPB,BERT_base,62,0.7028571428571428,0.7583333333333333,0.7982456140350878,0.7777777777777778,0.6647509578544062
