experiment,domain_setup,model,accuracy_mean,accuracy_std,precision_mean,precision_std,recall_mean,recall_std,f1_mean,f1_std,macro_f1_mean,macro_f1_std
Exp3,FPB->FPB,BERT_base,0.941,0.0231,0.9701,0.0129,0.9386,0.0402,0.9537,0.019,0.9361,0.0241
Exp3,FPB->FPB,LSTM_GloVe,0.6629,0.0057,0.6608,0.0039,0.9912,0.0,0.793,0.0028,0.793,0.0028
