experiment,domain_setup,model,seed,accuracy,precision,recall,f1,macro_f1
Exp3,FPB->FPB,LSTM_GloVe,42,0.6571428571428571,0.6569767441860465,0.9912280701754386,0.7902097902097902,0.7902097902097902
Exp3,FPB->FPB,BERT_base,42,0.92,0.9807692307692307,0.8947368421052632,0.9357798165137615,0.9148596052265777
Exp3,FPB->FPB,LSTM_GloVe,52,0.6685714285714286,0.6647058823529411,0.9912280701754386,0.795774647887324,0.795774647887324
Exp3,FPB->FPB,BERT_base,52,0.9657142857142857,0.9736842105263158,0.9736842105263158,0.9736842105263158,0.9622519413287316
Exp3,FPB->FPB,LSTM_GloVe,62,0.6628571428571428,0.6608187134502924,0.9912280701754386,0.7929824561403509,0.7929824561403509
Exp3,FPB->FPB,BERT_base,62,0.9371428571428572,0.9557522123893806,0.9473684210526315,0.9515418502202643,0.9310554779556606
