model,accuracy,precision,recall,f1
LR_C10,0.8857,0.8852,0.9474,0.9153
LR_C1_balanced,0.8571,0.9009,0.8772,0.8889
LR_C1,0.8343,0.8102,0.9737,0.8845
NB_multinomial,0.8171,0.7971,0.9649,0.873
NB_complement,0.8343,0.8761,0.8684,0.8722
LR_C0.1,0.6514,0.6514,1.0,0.7889
