model,accuracy,precision,recall,f1
LR_C10,0.9009,0.9021,0.8994,0.9008
LR_C1,0.8994,0.8954,0.9046,0.9
LR_C1_balanced,0.8994,0.8954,0.9046,0.9
LR_C0.1,0.8701,0.8606,0.8834,0.8718
NB_multinomial,0.8681,0.878,0.855,0.8664
NB_complement,0.8681,0.878,0.855,0.8664
